,Countries,Total Cases,Todays Cases,Total Deaths
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,280 Cases and 13,591 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,280        



Deaths:

13,591



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,414 Cases and 13,591 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,414        



Deaths:

13,591



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,424 Cases and 13,591 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,424        



Deaths:

13,591



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,762 Cases and 13,593 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,762        



Deaths:

13,593



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,796 Cases and 13,594 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,796        



Deaths:

13,594



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,814 Cases and 13,596 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,814        



Deaths:

13,596



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,826 Cases and 13,596 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,826        



Deaths:

13,596



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 315,951 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

315,951        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,021 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,021        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,900       +2,693          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,029 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,029        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,904       +2,697          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,039 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,039        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,904       +2,697          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,054 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,054        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,904       +2,697          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,057 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,057        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,904       +2,697          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,057 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,057        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,904       +2,697          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,061 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,061        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,061 Cases and 13,597 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,061        



Deaths:

13,597



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,062 Cases and 13,598 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,062        



Deaths:

13,598



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,065 Cases and 13,598 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,065        



Deaths:

13,598



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,065 Cases and 13,598 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,065        



Deaths:

13,598



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,066 Cases and 13,598 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,066        



Deaths:

13,598



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,067 Cases and 13,598 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,067        



Deaths:

13,598



Recovered:

95,892



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,186 Cases and 13,598 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,186        



Deaths:

13,598



Recovered:

95,893



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,209 Cases and 13,598 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,209        



Deaths:

13,598



Recovered:

95,893



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,220 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,220        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,905       +2,698          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,409 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,409        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,409 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,409        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,409 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,409        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,409 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,409        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,506 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,506        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,506 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,506        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,506 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,506        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,545 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,545        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,629 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,629        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,660 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,660        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,906       +2,699          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 316,662 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

316,662        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,908       +2,701          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,237 Cases and 13,599 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,237        



Deaths:

13,599



Recovered:

95,922



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,908       +2,701          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,237 Cases and 13,642 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,237        



Deaths:

13,642



Recovered:

95,942



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,908       +2,701          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,298 Cases and 13,642 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,298        



Deaths:

13,642



Recovered:

95,942



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,908       +2,701          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,298 Cases and 13,642 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,298        



Deaths:

13,642



Recovered:

95,949



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,908       +2,701          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,298 Cases and 13,642 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,298        



Deaths:

13,642



Recovered:

95,949



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,908       +2,701          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,298 Cases and 13,642 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,298        



Deaths:

13,642



Recovered:

95,949



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,908       +2,701          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,300 Cases and 13,642 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,300        



Deaths:

13,642



Recovered:

95,953



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,909       +2,702          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
188             Timor-Leste           1                          
189                  Uganda           1                          

[189 rows x 4 columns]
Coronavirus Update (Live): 317,300 Cases and 13,642 Deaths from COVID-19 Virus Outbreak - Worldometer


Coronavirus Cases:

317,300        



Deaths:

13,642



Recovered:

95,953



Analysis based on individual countries

                  Countries Total Cases Todays Cases Total Deaths
1                     China      81,054          +46        3,261
2                     Italy      53,578                     4,825
3                     Spain      28,572       +3,076        1,725
4                       USA      26,909       +2,702          348
5                   Germany      23,129         +765           93
..                      ...         ...          ...          ...
185  St. Vincent Grenadines           1                          
186            Sint Maarten           1                          
187                 Somalia           1                          
